"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 22 11:34:39 UTC 2026","Wed Apr 22 11:34:41 UTC 2026","1164","","tests.LoginTests","","tests.LoginTests","testEmptyFields","Пустые поля логин и пароль [1] chrome",""
"passed","Wed Apr 22 11:34:29 UTC 2026","Wed Apr 22 11:34:33 UTC 2026","4034","","tests.CartTests","","tests.CartTests","testAddProductToCart","Добавление товара в корзину [2] firefox",""
"passed","Wed Apr 22 11:34:45 UTC 2026","Wed Apr 22 11:34:49 UTC 2026","3606","","tests.LoginTests","","tests.LoginTests","testSuccessfulLogin","Успешный логин [2] firefox",""
"passed","Wed Apr 22 11:34:23 UTC 2026","Wed Apr 22 11:34:28 UTC 2026","4794","","tests.CartTests","","tests.CartTests","testRemoveProductFromCart","Удаление товара из корзины [2] firefox",""
"passed","Wed Apr 22 11:34:35 UTC 2026","Wed Apr 22 11:34:39 UTC 2026","4150","","tests.CartTests","","tests.CartTests","testContinueShopping","Продолжить покупки из корзины [2] firefox",""
"passed","Wed Apr 22 11:34:50 UTC 2026","Wed Apr 22 11:34:54 UTC 2026","3562","","tests.LoginTests","","tests.LoginTests","testInvalidLogin","Неверный логин [2] firefox",""
"passed","Wed Apr 22 11:34:20 UTC 2026","Wed Apr 22 11:34:23 UTC 2026","2753","","tests.CartTests","","tests.CartTests","testRemoveProductFromCart","Удаление товара из корзины [1] chrome",""
"passed","Wed Apr 22 11:34:28 UTC 2026","Wed Apr 22 11:34:29 UTC 2026","1696","","tests.CartTests","","tests.CartTests","testAddProductToCart","Добавление товара в корзину [1] chrome",""
"passed","Wed Apr 22 11:34:56 UTC 2026","Wed Apr 22 11:35:01 UTC 2026","4732","","tests.PurchaseTest","","tests.PurchaseTest","testCompletePurchase","Полный путь покупки [2] firefox",""
"passed","Wed Apr 22 11:34:49 UTC 2026","Wed Apr 22 11:34:50 UTC 2026","1274","","tests.LoginTests","","tests.LoginTests","testInvalidLogin","Неверный логин [1] chrome",""
"passed","Wed Apr 22 11:34:54 UTC 2026","Wed Apr 22 11:34:56 UTC 2026","2095","","tests.PurchaseTest","","tests.PurchaseTest","testCompletePurchase","Полный путь покупки [1] chrome",""
"passed","Wed Apr 22 11:34:41 UTC 2026","Wed Apr 22 11:34:44 UTC 2026","3544","","tests.LoginTests","","tests.LoginTests","testEmptyFields","Пустые поля логин и пароль [2] firefox",""
"passed","Wed Apr 22 11:34:33 UTC 2026","Wed Apr 22 11:34:35 UTC 2026","1696","","tests.CartTests","","tests.CartTests","testContinueShopping","Продолжить покупки из корзины [1] chrome",""
"passed","Wed Apr 22 11:34:44 UTC 2026","Wed Apr 22 11:34:45 UTC 2026","1370","","tests.LoginTests","","tests.LoginTests","testSuccessfulLogin","Успешный логин [1] chrome",""
